Player,Maps,Rounds,K-D Diff,K/D,Rating1.0
ZywOo,1102,28688,6476,1.38,1.25
s1mple,1363,36228,8168,1.36,1.25
sh1ro,964,25288,5726,1.42,1.21
device,1595,41412,6311,1.25,1.16
NiKo,1705,44698,5507,1.19,1.14
blameF,1047,27669,4009,1.24,1.14
XANTARES,1640,43384,4446,1.15,1.13
coldzera,1364,35678,4516,1.2,1.12
KSCERATO,949,24517,3280,1.23,1.12
oskar,1387,35997,4186,1.18,1.12
ropz,1446,37702,4632,1.2,1.11
Jame,1317,34424,5189,1.28,1.11
El1an,735,19721,2402,1.2,1.11
xsepower,845,23019,2863,1.21,1.1
woxic,1110,28841,3047,1.17,1.09
frozen,1122,28942,2774,1.15,1.09
Twistzz,1600,41831,3896,1.15,1.09
Ax1Le,1007,26355,2373,1.14,1.09
kennyS,1271,34009,3294,1.15,1.09
zorte,812,20975,2278,1.18,1.08
nawwk,1010,26342,2839,1.18,1.08
HEN1,1176,30378,3394,1.19,1.08
dream3r,684,18046,1663,1.15,1.08
hades,812,21263,2060,1.16,1.08
huNter-,1378,36173,2593,1.11,1.08
GuardiaN,886,23195,2065,1.14,1.08
EliGE,1719,45003,2887,1.09,1.07
NAF,1648,43060,3836,1.14,1.07
syrsoN,1401,37316,3145,1.13,1.07
Brehze,1091,28719,1771,1.09,1.07
poizon,694,18551,1313,1.11,1.07
valde,1216,32352,2374,1.11,1.07
broky,985,25743,2313,1.15,1.07
CeRq,1048,27326,2181,1.13,1.07
yuurih,950,24545,1878,1.12,1.07
allu,1030,27363,2151,1.12,1.07
oSee,792,21122,1836,1.14,1.07
electroNic,1460,38051,2454,1.1,1.07
mir,967,25392,1758,1.1,1.07
fer,1212,31983,1837,1.08,1.06
k0nfig,1547,41086,1839,1.06,1.06
Magisk,1638,42751,3118,1.12,1.06
JUGi,697,18216,1581,1.14,1.06
draken,938,24851,1875,1.12,1.06
nicoodoz,783,20338,1627,1.13,1.06
autimatic,1105,28923,1731,1.09,1.06
FL1T,1272,33622,2268,1.1,1.06
f0rest,1254,33319,2000,1.09,1.05
snatchie,1156,31019,1520,1.07,1.05
dupreeh,1692,43855,2653,1.09,1.05
ZOREE,834,22437,1525,1.11,1.05
ScreaM,776,20405,976,1.07,1.05
MICHU,1122,29586,1205,1.06,1.05
nex,693,18432,986,1.08,1.05
Ethan,885,23442,972,1.06,1.05
slaxz-,784,21025,1392,1.11,1.05
FalleN,1615,42028,2954,1.12,1.05
faveN,1236,32883,1696,1.08,1.04
