abates_por_rounds,mortes_por_rounds,dano_por_round,rounds_vivo_vitoria,clutchs_ganhos,classificacao
1.05,0.45,98,72,6,1.28
0.62,0.78,71,54,3,1.01
0.28,1.05,42,38,1,0.74
1.12,0.5,105,76,7,1.34
0.55,0.82,65,49,2,0.96
1.25,0.4,112,81,8,1.45
0.33,0.95,48,42,1,0.82
0.98,0.58,92,69,5,1.21
0.7,0.75,78,57,3,1.05
0.22,1.1,36,33,0,0.68
1.18,0.47,108,79,7,1.39
0.6,0.8,69,52,2,0.99
0.3,1.02,44,39,1,0.76
1.08,0.55,100,73,6,1.3
0.66,0.72,74,56,3,1.04
1.32,0.38,115,85,9,1.52
0.4,0.9,55,46,2,0.88
1.0,0.6,95,70,5,1.22
0.68,0.74,76,58,3,1.06
0.25,1.08,40,35,1,0.72
1.22,0.42,110,82,8,1.47
0.58,0.81,67,50,2,0.97
0.35,0.97,50,44,2,0.85
1.1,0.53,102,74,6,1.31
0.72,0.7,80,60,4,1.08
0.2,1.15,32,30,0,0.64
1.28,0.39,118,87,9,1.55
0.63,0.77,72,55,3,1.02
0.38,0.92,53,45,2,0.86
0.96,0.62,90,68,5,1.19
0.69,0.73,77,59,3,1.07
0.27,1.06,41,36,1,0.73
1.2,0.44,107,80,7,1.42
0.56,0.83,66,51,2,0.98
0.32,1.0,46,41,1,0.79
1.06,0.56,99,72,6,1.27
0.65,0.74,73,57,3,1.03
0.24,1.09,38,34,0,0.7
1.3,0.37,120,89,10,1.58
0.59,0.79,68,53,2,1.0
0.42,0.88,58,47,2,0.9
1.02,0.59,94,71,5,1.23
0.71,0.71,79,61,4,1.09
0.29,1.04,43,37,1,0.75
1.14,0.49,104,75,6,1.33
0.57,0.82,64,49,2,0.95
0.21,1.12,34,31,0,0.66
1.24,0.41,111,83,8,1.48
