Player,Maps,Rounds,K-D Diff,K/D,Rating1.0,deaths,kills,abates_por_rounds,mortes_por_rounds,classificacao,dano_por_round,rounds_vivo_vitoria,clutchs_ganhos,grau_consistencia
ZywOo,1102,28688,6476,1.38,1.25,17042.1052631579,23518.1052631579,0.8197889453136469,0.5940499603722079,1.25,93.75,74.13541371520358,3.0,8.536552231172484
s1mple,1363,36228,8168,1.36,1.25,22688.888888888883,30856.888888888883,0.8517414400157028,0.6262804705997814,1.25,93.75,69.24479981395143,3.0,8.536552231172484
sh1ro,964,25288,5726,1.42,1.21,13633.333333333336,19359.333333333336,0.7655541495307393,0.5391226405146052,1.21,90.75,80.23215775035428,3.0,7.538577666156529
device,1595,41412,6311,1.25,1.16,25244.0,31555.0,0.7619772046749734,0.6095817637399787,1.16,87.0,67.51324852418088,3.0,7.31450337532136
NiKo,1705,44698,5507,1.19,1.14,28984.210526315797,34491.210526315794,0.7716499737419078,0.6484453560856369,1.14,85.49999999999999,61.187220776018094,3.0,7.292112075100464
blameF,1047,27669,4009,1.24,1.14,16704.166666666668,20713.166666666668,0.748605539291867,0.6037141445902153,1.14,85.49999999999999,67.37737823526462,3.0,6.917790559478366
XANTARES,1640,43384,4446,1.15,1.13,29640.00000000002,34086.00000000002,0.7856813571823719,0.6832011801585842,1.13,84.74999999999999,55.992948732648316,3.0,7.368516293927689
coldzera,1364,35678,4516,1.2,1.12,22580.000000000004,27096.000000000004,0.7594596109647402,0.6328830091372836,1.12,84.00000000000001,62.44953281587599,3.0,6.89475960434868
KSCERATO,949,24517,3280,1.23,1.12,14260.869565217392,17540.869565217392,0.7154574199623687,0.5816726991563973,1.12,84.00000000000001,69.41197515675029,3.0,6.153558604701151
oskar,1387,35997,4186,1.18,1.12,23255.555555555562,27441.555555555562,0.7623289595120583,0.6460414911119138,1.12,84.00000000000001,60.6605342318801,3.0,6.945233358483807
ropz,1446,37702,4632,1.2,1.11,23160.000000000004,27792.000000000004,0.7371492228528992,0.6142910190440827,1.11,83.25000000000001,64.50904368304106,3.0,6.376384910615479
Jame,1317,34424,5189,1.28,1.11,18532.142857142855,23721.142857142855,0.6890873476976196,0.5383494903887652,1.11,83.25000000000001,74.74170259766142,3.0,5.870561925919236
El1an,735,19721,2402,1.2,1.11,12010.000000000002,14412.000000000002,0.7307945844531212,0.6089954870442676,1.11,83.25000000000001,65.22258439897146,3.0,6.258757200630548
xsepower,845,23019,2863,1.21,1.1,13633.333333333336,16496.333333333336,0.7166398772028905,0.5922643613247028,1.1,82.5,66.98204776619278,3.0,5.851352663703972
woxic,1110,28841,3047,1.17,1.09,17923.529411764714,20970.529411764714,0.727108262950824,0.6214600538041231,1.09,81.75,62.62403366248976,3.0,6.058030724658662
frozen,1122,28942,2774,1.15,1.09,18493.333333333343,21267.333333333343,0.7348259737866542,0.6389791076405689,1.09,81.75,60.305980833402415,3.0,6.207702539048612
Twistzz,1600,41831,3896,1.15,1.09,25973.33333333335,29869.33333333335,0.7140477954945699,0.6209111265170173,1.09,81.75,62.69666557872897,3.0,5.798403022399066
Ax1Le,1007,26355,2373,1.14,1.09,16950.00000000001,19323.00000000001,0.7331815594763806,0.6431417188389305,1.09,81.75,59.75520036575644,3.0,6.176054141205399
kennyS,1271,34009,3294,1.15,1.09,21960.000000000015,25254.000000000015,0.742568143726661,0.6457114293275313,1.09,81.75,59.41518630314509,3.0,6.356412741374039
zorte,812,20975,2278,1.18,1.08,12655.55555555556,14933.55555555556,0.711969275592637,0.6033637928751161,1.08,81.0,64.5369799610442,3.0,5.755944304232504
nawwk,1010,26342,2839,1.18,1.08,15772.222222222228,18611.22222222223,0.7065227477876482,0.5987480913454646,1.08,81.0,65.1421085306635,3.0,5.642634772091453
HEN1,1176,30378,3394,1.19,1.08,17863.157894736847,21257.157894736847,0.6997550166152099,0.5880294257270672,1.08,81.0,66.54734904550637,3.0,5.500000000000005
dream3r,684,18046,1663,1.15,1.08,11086.666666666673,12749.666666666673,0.7065092910709672,0.6143559052791019,1.08,81.0,63.09588997431345,3.0,5.642348890808636
hades,812,21263,2060,1.16,1.08,12875.000000000007,14935.000000000007,0.7023938296571512,0.6055119221182339,1.08,81.0,64.25535551719862,3.0,5.5533458498019135
huNter-,1378,36173,2593,1.11,1.08,23572.72727272725,26165.72727272725,0.7233496605956722,0.6516663608970019,1.08,81.0,58.20440760811955,3.0,5.984836179688046
GuardiaN,886,23195,2065,1.14,1.08,14750.000000000011,16815.00000000001,0.7249407199827553,0.635912912265575,1.08,81.0,60.269719191996245,3.0,6.015882421385322
EliGE,1719,45003,2887,1.09,1.07,32077.77777777775,34964.777777777745,0.7769432655106936,0.7127919867070583,1.07,80.25,49.84205988780224,3.0,7.020901368456496
NAF,1648,43060,3836,1.14,1.07,27400.00000000002,31236.00000000002,0.7254064096609386,0.6363214119832795,1.07,80.25,59.774691220288375,3.0,6.024933985287594
syrsoN,1401,37316,3145,1.13,1.07,24192.307692307713,27337.307692307713,0.7325894440000995,0.6483092424779643,1.07,80.25,58.21761255035375,3.0,6.16463325128383
Brehze,1091,28719,1771,1.09,1.07,19677.77777777776,21448.77777777776,0.746849743298087,0.6851832507321898,1.07,80.25,53.42811108442081,3.0,6.439033360775791
poizon,694,18551,1313,1.11,1.07,11936.363636363625,13249.363636363625,0.7142129069248895,0.6434350512836842,1.07,80.25,58.850712855297324,3.0,5.801802820460097
valde,1216,32352,2374,1.11,1.07,21581.818181818162,23955.818181818162,0.7404741030482864,0.6670937865299877,1.07,80.25,55.777720454713766,3.0,6.316018971943806
broky,985,25743,2313,1.15,1.07,15420.00000000001,17733.000000000007,0.688847453676728,0.5989977858058505,1.07,80.25,64.62259278440013,3.0,5.499999999999998
CeRq,1048,27326,2181,1.13,1.07,16776.92307692309,18957.92307692309,0.6937686846564842,0.613954588191579,1.07,80.25,62.67987946562478,3.0,5.499999999999999
yuurih,950,24545,1878,1.12,1.07,15649.999999999985,17527.999999999985,0.7141169280912604,0.6376044000814824,1.07,80.25,59.60804610444547,3.0,5.799826992836636
allu,1030,27363,2151,1.12,1.07,17924.999999999985,20075.999999999985,0.7336914811972366,0.6550816796403898,1.07,80.25,57.337952343800026,3.0,6.185878414196002
oSee,792,21122,1836,1.14,1.07,13114.285714285723,14950.285714285723,0.7078063495069464,0.6208827627253917,1.07,80.25,61.77999079995111,3.0,5.669761599295021
electroNic,1460,38051,2454,1.1,1.07,24539.999999999978,26993.999999999978,0.7094163096896265,0.6449239178996604,1.07,80.25,58.657326533131496,3.0,5.703402799907843
mir,967,25392,1758,1.1,1.07,17579.999999999985,19337.999999999985,0.7615784499054815,0.6923440453686195,1.07,80.25,52.498007793995505,3.0,6.723347183537377
fer,1212,31983,1837,1.08,1.06,22962.499999999978,24799.499999999978,0.7753963042866516,0.7179595410061589,1.06,79.5,48.82848366082025,3.0,6.990677949038447
k0nfig,1547,41086,1839,1.06,1.06,30649.999999999975,32488.999999999975,0.7907559752713813,0.7459962030862088,1.06,79.5,45.220883839509,3.0,7.300177672579982
Magisk,1638,42751,3118,1.12,1.06,25983.33333333331,29101.33333333331,0.6807170202646327,0.6077830538077077,1.06,79.5,63.00537370554005,3.0,5.4999999999999964
