abates_por_rounds,mortes_por_rounds,dano_por_round,rounds_vivo_vitoria,clutchs_ganhos,classificacao,grau_consistencia
1.05,0.45,98,72,6,1.28,8.450201775625507
0.62,0.78,71,54,3,1.01,5.499999999999995
0.28,1.05,42,38,1,0.74,2.253201355448546
1.12,0.5,105,76,7,1.34,8.323021582733812
0.55,0.82,65,49,2,0.96,4.8088235294117645
1.25,0.4,112,81,8,1.45,8.294444444444444
0.33,0.95,48,42,1,0.82,2.307177059527696
0.98,0.58,92,69,5,1.21,8.312844141069396
0.7,0.75,78,57,3,1.05,5.500000000000006
0.22,1.1,36,33,0,0.68,2.120178799489144
1.18,0.47,108,79,7,1.39,8.298882681564244
0.6,0.8,69,52,2,0.99,5.499999999999995
0.3,1.02,44,39,1,0.76,2.2906273620559334
1.08,0.55,100,73,6,1.3,8.422580645161293
0.66,0.72,74,56,3,1.04,5.4999999999999964
1.32,0.38,115,85,9,1.52,8.294444444444444
0.4,0.9,55,46,2,0.88,1.4083333333333332
1.0,0.6,95,70,5,1.22,8.441198299466778
0.68,0.74,76,58,3,1.06,5.4999999999999964
0.25,1.08,40,35,1,0.72,2.1850104821802936
1.22,0.42,110,82,8,1.47,8.294444444444443
0.58,0.81,67,50,2,0.97,5.110190444370195
0.35,0.97,50,44,2,0.85,1.3214285714285707
1.1,0.53,102,74,6,1.31,8.371951219512194
0.72,0.7,80,60,4,1.08,5.91877243359655
0.2,1.15,32,30,0,0.64,2.0813953488372094
1.28,0.39,118,87,9,1.55,8.294444444444444
0.63,0.77,72,55,3,1.02,5.499999999999998
0.38,0.92,53,45,2,0.86,1.3729452054794524
0.96,0.62,90,68,5,1.19,8.147797963115886
0.69,0.73,77,59,3,1.07,5.499999999999997
0.27,1.06,41,36,1,0.73,2.231813232283636
1.2,0.44,107,80,7,1.42,8.304500703234877
0.56,0.83,66,51,2,0.98,4.568986083499005
0.32,1.0,46,41,1,0.79,2.3207697006719608
1.06,0.56,99,72,6,1.27,8.388303571428573
0.65,0.74,73,57,3,1.03,5.499999999999997
0.24,1.09,38,34,0,0.7,2.162446422683811
1.3,0.37,120,89,10,1.58,8.294444444444444
0.59,0.79,68,53,2,1.0,5.4999999999999964
0.42,0.88,58,47,2,0.9,2.6313604454127306
1.02,0.59,94,71,5,1.23,8.490621023559537
0.71,0.71,79,61,4,1.09,5.715499545867395
0.29,1.04,43,37,1,0.75,2.272804727222757
1.14,0.49,104,75,6,1.33,8.336257309941521
0.57,0.82,64,49,2,0.95,4.8088235294117645
0.21,1.12,34,31,0,0.66,2.100373515766297
1.24,0.41,111,83,8,1.48,8.294444444444443
